index,srcip,dstip,label1,label2
1,,,Label,Label
2,20.143.211.16,0.212.70.55,benign,benign
3,92.213.10.100,111.11.10.100,benign,benign
4,7.189.10.100,111.7.10.100,SMA Subscribe Notify,SMA Subscribe Notify
5,78.211.10.100,111.11.10.100,benign,benign
6,44.109.211.16,0.212.70.55,benign,benign
7,74.118.10.100,111.11.10.100,benign,benign
8,44.186.10.100,111.11.10.100,benign,benign
9,211.95.10.100,111.10.10.100,Rapid Reset,Rapid Reset
10,243.199.10.100,111.10.10.100,Rapid Reset,Rapid Reset
11,161.64.10.100,111.13.10.100,benign,benign
12,143.25.10.100,111.11.10.100,benign,benign
13,197.120.10.100,111.13.10.100,Rapid Reset,Rapid Reset
14,147.68.211.16,0.212.70.55,benign,benign
15,181.3.10.100,111.10.10.100,Rapid Reset,Rapid Reset
16,111.73.10.100,111.7.10.100,SMA Subscribe Notify,SMA Subscribe Notify
17,124.25.211.16,0.212.70.55,benign,benign
18,10.206.10.100,111.11.10.100,benign,benign
19,211.253.10.100,111.6.10.100,benign,benign
20,65.236.10.100,111.11.10.100,benign,benign
21,39.38.10.100,111.7.10.100,benign,benign
22,171.93.10.100,111.11.10.100,benign,benign
23,27.180.10.100,111.13.10.100,benign,benign
24,55.238.10.100,111.10.10.100,Rapid Reset,Rapid Reset
25,140.2.211.16,0.212.70.55,benign,benign
26,126.205.10.100,111.12.10.100,benign,benign
27,163.98.10.100,111.11.10.100,benign,benign
28,34.204.10.100,111.7.10.100,benign,benign
29,23.247.10.100,111.7.10.100,benign,benign
30,149.43.10.100,111.17.10.100,benign,benign
31,30.163.10.100,111.10.10.100,benign,benign
32,70.113.10.100,111.7.10.100,SMA Subscribe Notify,SMA Subscribe Notify
33,55.30.10.100,111.10.10.100,Rapid Reset,Rapid Reset
34,102.182.10.100,111.11.10.100,benign,benign
35,75.194.10.100,111.11.10.100,benign,benign
36,13.154.10.100,111.10.10.100,Rapid Reset,Rapid Reset
37,134.204.211.16,0.212.70.55,benign,benign
38,20.132.10.100,111.13.10.100,Rapid Reset,Rapid Reset
39,218.173.10.100,111.12.10.100,benign,benign
40,163.162.10.100,111.10.10.100,Rapid Reset,Rapid Reset
41,79.115.10.100,111.13.10.100,Rapid Reset,Rapid Reset
42,183.130.10.100,111.10.10.100,Rapid Reset,Rapid Reset
43,123.167.10.100,111.13.10.100,Rapid Reset,Rapid Reset
44,152.111.10.100,111.7.10.100,benign,benign
45,218.224.10.100,111.10.10.100,Rapid Reset,Rapid Reset
46,103.37.10.100,111.10.10.100,Rapid Reset,Rapid Reset
47,211.3.10.100,111.13.10.100,Rapid Reset,Rapid Reset
48,240.249.10.100,111.10.10.100,Rapid Reset,Rapid Reset
49,180.53.10.100,111.11.10.100,benign,benign
50,103.205.10.100,111.6.10.100,benign,benign
51,79.11.10.100,111.11.10.100,benign,benign
52,46.54.10.100,111.7.10.100,SMA Subscribe Notify,SMA Subscribe Notify
53,89.54.10.100,111.10.10.100,Rapid Reset,Rapid Reset
54,219.113.10.100,111.10.10.100,benign,benign
55,18.187.10.100,111.11.10.100,benign,benign
56,86.31.10.100,111.10.10.100,Rapid Reset,Rapid Reset
57,113.76.10.100,111.7.10.100,benign,benign
58,83.115.10.100,111.11.10.100,benign,benign
59,80.161.211.16,0.212.70.55,benign,benign
60,179.168.211.16,0.212.70.55,benign,benign
61,34.248.10.100,111.10.10.100,benign,benign
62,251.125.10.100,111.13.10.100,Rapid Reset,Rapid Reset
63,0.18.10.100,111.11.10.100,benign,benign
64,30.215.211.16,0.212.70.55,benign,benign
65,100.176.10.100,111.11.10.100,benign,benign
66,223.193.211.16,0.212.70.55,benign,benign
67,67.239.10.100,111.11.10.100,benign,benign
68,7.134.10.100,111.11.10.100,benign,benign
69,104.48.211.16,0.212.70.55,benign,benign
70,112.48.10.100,111.11.10.100,benign,benign
71,253.251.10.100,111.10.10.100,Rapid Reset,Rapid Reset
72,164.46.10.100,111.7.10.100,SMA Subscribe Notify,SMA Subscribe Notify
73,40.54.10.100,111.7.10.100,benign,benign
74,73.189.10.100,111.6.10.100,benign,benign
75,56.118.10.100,111.13.10.100,Rapid Reset,Rapid Reset
76,182.131.10.100,111.13.10.100,Rapid Reset,Rapid Reset
77,167.210.10.100,111.10.10.100,Rapid Reset,Rapid Reset
78,232.72.10.100,111.8.10.100,benign,benign
79,141.88.10.100,111.7.10.100,SMA Subscribe Notify,SMA Subscribe Notify
80,210.220.10.100,111.11.10.100,benign,benign
81,90.197.10.100,111.11.10.100,benign,benign
82,211.106.10.100,111.10.10.100,Rapid Reset,Rapid Reset
83,142.11.10.100,111.10.10.100,Rapid Reset,Rapid Reset
84,40.239.10.100,111.11.10.100,benign,benign
85,12.109.10.100,111.10.10.100,Rapid Reset,Rapid Reset
86,195.14.10.100,111.10.10.100,Rapid Reset,Rapid Reset
87,243.134.211.16,0.212.70.55,benign,benign
88,104.7.211.16,0.212.70.55,benign,benign
89,175.204.10.100,111.10.10.100,Rapid Reset,Rapid Reset
90,102.41.10.100,111.12.10.100,benign,benign
91,110.171.10.100,111.10.10.100,Rapid Reset,Rapid Reset
92,27.231.10.100,111.11.10.100,benign,benign
93,64.204.10.100,111.10.10.100,Rapid Reset,Rapid Reset
94,168.111.10.100,111.10.10.100,Rapid Reset,Rapid Reset
95,26.137.10.100,111.6.10.100,benign,benign
96,95.111.10.100,111.11.10.100,benign,benign
97,181.181.10.100,111.10.10.100,Rapid Reset,Rapid Reset
98,140.25.10.100,111.11.10.100,benign,benign
99,212.93.211.16,0.212.70.55,benign,benign
100,2.87.10.100,111.11.10.100,benign,benign
101,36.154.211.16,0.212.70.55,benign,benign
